,home_won
203085,1
259116,0
48431,0
163736,0
127143,0
641,0
47551,1
42800,0
242385,1
331363,0
32470,1
90722,1
189219,1
117188,1
224695,0
360029,0
324478,1
151656,0
288076,1
258491,1
154462,1
216256,1
121371,1
32245,1
326583,1
180016,1
295091,0
47270,1
179598,1
263721,0
26608,0
337522,0
340285,1
157194,1
74985,1
374401,1
182438,1
234654,1
417651,1
208792,0
297528,1
107852,0
405296,1
189195,1
110095,0
28939,1
270966,0
316559,1
142164,1
77941,0
119820,0
73807,1
334452,1
397596,0
375663,1
293756,1
259412,1
356310,1
278157,0
137668,0
354040,1
275759,1
383500,1
95274,0
2089,1
5777,1
142790,0
368921,1
29768,1
219172,1
178583,0
317207,0
37630,1
341639,1
9203,0
211054,1
86250,0
269367,1
276197,1
1230,1
152993,1
222739,1
391225,1
415355,0
158417,0
223147,1
175305,1
119568,0
135955,0
194077,1
350299,1
270952,0
351815,1
164832,0
50984,0
12264,0
122536,1
124747,0
106239,1
239606,1
309874,1
64447,1
295945,0
125574,1
151750,1
405298,1
91668,0
257517,0
320479,1
132986,0
66579,0
311642,1
64848,1
25736,1
1456,0
147818,0
409101,0
289357,1
344815,1
180307,1
233676,0
308479,0
414431,0
87595,1
420738,0
370969,0
397221,1
296970,1
420697,0
201705,1
227729,0
74368,0
379416,1
105435,0
120180,1
116916,1
111988,1
96586,0
253859,1
245097,0
63309,1
404190,1
166923,1
103560,1
363205,1
69588,0
262684,1
345070,1
75559,1
258110,0
385513,0
355502,1
203485,1
308980,0
34813,1
328207,1
257656,0
123215,0
29653,1
223328,0
349608,0
172512,1
303920,0
334895,1
168835,1
240322,1
10346,0
318167,0
24238,1
49587,1
211788,1
396716,0
168758,1
342199,1
213480,1
352319,0
100796,0
216088,0
156250,1
179989,1
154824,1
185360,1
185032,0
185573,0
413177,0
320446,1
296495,1
281784,0
323230,0
42177,1
291194,0
318351,0
106930,1
328794,1
63854,0
314463,1
109158,1
268932,0
342539,0
239986,0
35817,0
25089,1
288643,0
421276,1
355045,0
96197,0
51821,0
44264,1
260723,1
241366,0
168691,1
235709,0
87751,0
270350,1
199149,0
195924,0
242160,1
217735,1
181174,1
45850,1
238355,0
299412,0
247523,1
92162,0
275407,0
118897,1
350538,1
140607,1
110605,1
66745,1
26781,0
86883,0
154387,1
407159,0
180496,0
36837,0
359431,0
87294,1
2172,1
139146,1
289384,1
